Date,Open,High,Low,Close,Adj Close,Volume
10/21/2014,166.399994,166.679993,161.679993,163.229996,127.57869,20949800
10/22/2014,162.410004,165.410004,161.100006,161.789993,126.453232,11084800
10/23/2014,162.119995,162.830002,161.539993,162.179993,126.758057,7599400
10/24/2014,162.080002,162.440002,161.449997,162.080002,126.679871,6652100
10/27/2014,162,162.910004,161.809998,161.869995,126.515778,4989100
10/28/2014,162,163.600006,161.800003,163.600006,127.86792,7895300
10/29/2014,164.330002,164.619995,162.759995,163.460007,127.758476,4739300
10/30/2014,163.5,164.619995,163.020004,164.350006,128.454117,3896000
10/31/2014,165.479996,165.589996,163.619995,164.399994,128.493149,5818000
11/3/2014,164.25,164.539993,163.380005,164.360001,128.461914,4688200
11/4/2014,164.339996,164.360001,162.240005,162.649994,127.125412,4246900
11/5/2014,163.130005,163.539993,161.559998,161.820007,126.476669,4104700
11/6/2014,161.279999,161.529999,160.050003,161.460007,127.058998,4067600
11/7/2014,161.419998,162.210007,160.850006,162.070007,127.539017,3494800
11/10/2014,161.899994,164.470001,161.610001,163.490005,128.656525,4958200
11/11/2014,163.699997,163.899994,162.600006,163.300003,128.506973,3534400
11/12/2014,162.279999,163,161.759995,161.919998,127.42099,3378200
11/13/2014,162,162.800003,161.800003,162.789993,128.105621,3239700
11/14/2014,162.100006,164.490005,161.690002,164.160004,129.183731,4978400
11/17/2014,164.160004,164.970001,163.720001,164.160004,129.183731,4798900
11/18/2014,164.729996,164.75,161.889999,161.889999,127.3974,5410100
11/19/2014,162.050003,162.100006,160.960007,161.429993,127.035393,3802600
11/20/2014,160.949997,161.5,159.800003,160.639999,126.413673,4183100
11/21/2014,161.830002,161.949997,160.75,160.919998,126.634064,4076900
11/24/2014,161.539993,163.860001,161.059998,162.149994,127.60199,6619000
11/25/2014,162.649994,163.5,161.559998,161.759995,127.29509,4062400
11/26/2014,161.929993,162.100006,161.009995,161.949997,127.444595,3966000
11/28/2014,162.75,163.369995,161.440002,162.169998,127.617744,2405500
12/1/2014,161.639999,163.320007,161.350006,161.539993,127.121933,4168400
12/2/2014,162.470001,162.729996,161.639999,162.669998,128.0112,3465700
12/3/2014,162.470001,164.520004,162,164.520004,129.467056,6429100
12/4/2014,164.009995,164.5,163.009995,164.050003,129.097198,3859400
12/5/2014,163.610001,164.5,162.910004,163.270004,128.483383,3013500
12/8/2014,163.289993,163.289993,161.539993,161.860001,127.373802,2851000
12/9/2014,160.839996,163.020004,160.800003,162.990005,128.263031,3861200
12/10/2014,163.009995,163.330002,160.029999,160.509995,126.31144,4072800
12/11/2014,160.820007,162.929993,160.520004,161.070007,126.752098,3989600
12/12/2014,160.25,160.5,155.330002,155.380005,122.274414,8611700
12/15/2014,155.929993,156.740005,152.839996,153.059998,120.448708,6500300
12/16/2014,152.029999,154.889999,150.5,151.410004,119.150314,6782600
12/17/2014,151.520004,153.309998,151.110001,151.929993,119.559479,5131000
12/18/2014,153.580002,157.679993,153.300003,157.679993,124.084389,7302400
